Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,84.279999,84.419998,76.639999,78.500000,63.725098,79844000
2018-02-01,78.320000,79.629997,72.930000,75.339996,61.159855,86888100
2018-03-01,75.349998,77.910004,74.580002,77.470001,63.639355,93731900
2018-04-01,77.550003,80.849998,75.959999,80.160004,65.849129,63529600
2018-05-01,80.160004,80.410004,73.129997,77.160004,63.384686,79113900
2018-06-01,77.120003,80.150002,71.959999,79.080002,65.731369,83951100
2018-07-01,79.209999,81.750000,77.900002,81.620003,67.842606,67246200
2018-08-01,81.139999,82.720001,79.510002,81.239998,67.526756,66662500
2018-09-01,81.379997,83.769997,78.000000,80.019997,67.275337,87873800
2018-10-01,79.910004,85.080002,78.519997,82.629997,69.469650,98495800
2018-11-01,82.570000,89.230003,80.889999,88.570000,74.463600,79281100
2018-12-01,88.000000,91.349998,82.769997,86.300003,73.342720,80059900
2019-01-01,86.110001,88.480003,82.459999,87.779999,74.600517,63371400
2019-02-01,87.779999,90.739998,86.480003,89.660004,76.198242,63419900
2019-03-01,89.599998,91.669998,88.660004,90.000000,77.287758,86750300
2019-04-01,89.750000,91.330002,87.930000,91.120003,78.249573,66422400
2019-05-01,90.680000,91.059998,84.459999,85.610001,73.517830,68935000
2019-06-01,86.040001,90.680000,84.279999,88.239998,76.595352,64664800
2019-07-01,88.010002,90.599998,86.169998,86.720001,75.275932,50628900
2019-08-01,86.800003,93.349998,86.309998,92.739998,80.501503,61222300
2019-09-01,92.500000,96.800003,92.330002,95.860001,84.104706,54377800
2019-10-01,95.570000,97.370003,93.330002,94.260002,82.700920,54188300
2019-11-01,94.300003,94.550003,86.360001,88.169998,77.357727,99954000
2019-12-01,87.870003,91.500000,87.150002,91.209999,80.888367,79323200
2020-01-01,91.279999,98.050003,89.839996,97.629997,86.581871,64040300
2020-02-01,97.629997,103.790001,89.389999,91.699997,81.322922,74116600
2020-03-01,91.650002,101.690002,62.130001,80.879997,72.426300,135526700
2020-04-01,77.919998,93.000000,75.580002,84.660004,75.811218,79066000
2020-05-01,83.860001,86.370003,79.720001,85.629997,76.679832,72835800
2020-06-01,85.839996,92.199997,77.580002,79.889999,72.375000,85349000
2020-07-01,79.970001,85.050003,79.110001,84.739998,76.768753,77548600
2020-08-01,84.669998,87.209999,78.949997,80.339996,72.782661,67690400
2020-09-01,79.839996,89.489998,78.970001,88.559998,81.158234,82363800
2020-10-01,88.029999,94.370003,87.599998,92.110001,84.411530,71536100
2020-11-01,92.930000,98.879997,90.010002,92.660004,84.915573,62207900
2020-12-01,93.559998,94.639999,88.180000,91.559998,84.747932,65524700
2021-01-01,91.779999,94.580002,87.620003,94.000000,87.006386,53145600
2021-02-01,94.050003,95.449997,85.559998,85.589996,79.222099,54691200
2021-03-01,86.000000,97.919998,85.800003,96.529999,90.277924,91822900
2021-04-01,96.430000,101.830002,95.339996,100.690002,94.168495,67566800
2021-05-01,100.820000,108.000000,98.650002,100.220001,93.728920,76643900
2021-06-01,100.540001,103.900002,97.680000,98.720001,93.214760,64601900
2021-07-01,98.959999,106.709999,98.349998,105.110001,99.248421,54434900
2021-08-01,105.389999,108.379997,104.339996,104.660004,98.823517,56065500
2021-09-01,104.900002,106.949997,96.580002,97.589996,93.002808,68578000
2021-10-01,98.199997,104.940002,97.610001,102.010002,97.215042,50710300
